Link	Condition	Seller Notes	Brand	Model	Storage Capacity	Network	Camera Resolution	Screen Size	Lock Status	RAM	Contract	Operating System	Model Number	Style	MPN	Connectivity	Features	Manufacturer Color	SIM Card Slot	Memory Card Type	Processor	Cellular Band	Network Technology	Custom Bundle	Note	Country/Region of Manufacture	Notice	Attention	CPU	UPC	Manufacturer Warranty	Packing List	Color	Warehouse Location	Capacity of battery	SKU	Family Line	Carrier	Storage Extend	Bundle Listing	Bundled Items	Chipset Model	Compatibility	Applicable Regions	Notice 3	Package	Storage capacity	Screen size	Camera resolution	Operating system	Lock status	Sim card slot	Ram	Memory card type	EAN	Not Compatible	Compatible Operating System	WIFI	Positioning	Battery	ROM	Fast Charging	GPU	NFC	Aspect Ratio	Type	Resolution	Capacity of Battery	Free Accessories	Local Warehouse	Unit Type	Release Date	Battery Health/Capacity	Compatible With	Number of Charging Ports	Bundle Description	Includes The Following Cables	Output Amperage	Non-Domestic Product	Compatible Brand	Front Camera	Screen Type	Screen Resolution	Charger	Battery Capacity	Batteries	Item Weight	USB	Camera Features	Sensors	Video	Dimensions	Display Technology	Protection	Front Camera Feature	WLAN	Bluetooth	Loudspeaker	3.5mm jack	Charging	Front Video	Battery Capacity(mAh)	Biometrics Technology	Display Resolution	Rear Camera Quantity	Display Proportions	3.5mm Headphone Port	Touch Screen Type	Modified Item	Country/Region of Origin	Warranty	Music Play	Back Video	Talk Time	Audio Quality	Video recording(Back camera)	Seller Warranty	Sim Card Size	Front camera	Storage Type	RAM Type	Thermometer	Battery Capacity Range	CPU Model	Bluetooth Version	Charging Interface Type	MTK Model	RAM and Storage	Year	ISBN	Colour	Display Size	SIM Card Quantity	Comes in a kit box with	Free Bundled Items	SIM Card Type	Screen Material	Touch ID	Quick Charge	Display  Size	Size	Charger interface	External Storage	Weight (including battery)	Rear camera	Front Camera Video	Network Standard	4G/LTE	Cosmetic Condition	Functionality Condition	Data Sanitation Status	Audio quality	Support Network Carriers	For Free	LG UNLOCKED DEVICES	Included Accessories	Cosmetic condition	Charger and cable	Water, Dust,and Shock	Packaging	Not Compatible With	Phone Variant	N1-SKU	Stand-by	Battery Type	Carrier Supporting	SIM-Karten-Slot	Besonderheiten	Earphone Port	Card Extend	OK Google on Locked Screen	Certification	Cellular and wireless	Material	Betriebssystem	Sperrstatus	Battery Standby Time	Music play	Weight	Gigabyte Size	Model Identifiers	Back Camera Video	Memory	Chip	Rear Camera	Interface	Li-Polymer	WiFi	Sim card type	Earphone Jack	Unit Quantity	Bluetooth:	Our Battery Health % Rule	Whats in the Box	Android Version	Internet Connectivity	Series	RAM Size	Maximum Resolution	Display Type	Processor Model	Battery Run Time	BRAND	Model number	Manufacture Color	Cellular Network Technology	Free Gift	Processor Type	Night Vision camera	BDS	Housing Material	Height	Width	Thickness	Memory for SD Card	Front Camera(Pixel)	Back Camera(Pixel)	Proximity Sensor	Speaker	Feature	Hard Drive Capacity	Storage Extension	Battery Talk Time	SIM Card	Wireless Charge	Touch	PPI	Screen-to-body ratio	GPS	OTG	Net Weight	Body Material	Color::	Extra Features	Original Battery Capacity	Dimension	Manufacturer	No accessories	4G LTE	Cellular Band 4G	CARRIERS :	Size Type	Flash led	Qualcomm Model	Refresh Rate	Industrial Mode accuracy	Night Vision	IR Sensor Resolution	Storage extension	Charging Power	Temperature Range	Field of View	Capacity	Front camera video features	Networks Supported	Navigation	Color:	Storage capacity:	Talking Battery Life	Original box	Item condition	What is not included	Sim card	What is included	#1# suggestions found. Use up and down	VoLTE Supported	Manufacturer Part Number	Unlock Status	Manufacturer Colour	Display	Model:	USB Interface	Location technology	MHL	Battery capacity (mAh, Typical)	4G TDD LTE	5G TDD Sub6	Main Resolution	Sub Display Size	Color depth	CPU Type	S pen Support	SIM Slot Type	USB Version	Bluetooth version	2G GSM	3G UMTS	4G FDD LTE	Main Display Size	Main maximum scan rate	Sub Resolution	CPU speed	SIM	Manufactured Color	Torch	3G WCDMA	4G LTE-FDD	VoLTE	Touch Panel	BT	OS	Wifi	SD card	Exact Model	CPU Core Quantity	4G TDD-LTE	Screen Burn Severity	USB cable	Microphone	Battery capacity	Battery type	USB Charger	Front Camera Pixel	Max. Expansion Supported	FM	Chipset	Camera	AirBuda U	Network Status	Platform	Frequency band	Dual SIM card	Memory size	Compatible Model	FM Radio	Available Colors	Latest features	Marke	Sensor	The Internet	USB Port	Internal Storage	Kit Style	物品状况	Screen Refresh Rate	Carriers not work with	code	Important Information	Sealed	Warranty - Parts	Items Included	Design/Finish	Languages	Manufacture Year	Night vision Camera	Screen protection	Certified	Navigation & Positioning	Sensors 1	Fast Wireless Charging	Rear Camera Pixel	Colors
https://www.ebay.com/itm/254604777645?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry ...Read moreabout the seller notes“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	Apple	iPhone 11	64GB	Factory Unlocked	12MP	"6.1"""	Network Unlocked	4GB	Without Contract	iOS	A2111	Smartphone																																																																																																																																																																																																																																																																																																																																																		
https://www.ebay.com/itm/254187678666?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone has been determined ...Read moreabout the seller notes“This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. It will NOT come in its original packaging but will include an MFI certified lightning cable and UL approved power adapter. Headsets, SIM card and manual are NOT included. This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone is fully functional with all carrier networks. It does not come with a SIM card, you will need to get one from your carrier of choice.”Read Lessabout the seller notes	Apple	iPhone XR	64GB	Factory Unlocked	12MP	"6.1"""	Network Unlocked	3GB	Without Contract	iOS	A1984	Smartphone	MRYR2LL/A																																																																																																																																																																																																																																																																																																																																																	
https://www.ebay.com/itm/363183815277?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	Apple iPhone 11	64 GB	Unlocked	12.0 MP	6.1 in	Factory Unlocked	4 GB	Without Contract	iOS	A2111 (CDMA + GSM)		MWLD2LL/A, MWL72LL/A, MWL82LL/A, MWL92LL/A, MWLA2LL/A, MWLC2LL/A	4G, Bluetooth, GPS	Face ID, Three-axis gyro, 4K Video Recording, Accelerometer, Ambient Light Sensor, Barometer, Proximity Sensor	Black, Green, Yellow, White, Red, Purple	Single SIM	Not Applicable	Hexa Core																																																																																																																																																																																																																																																																																																																																											
https://www.ebay.com/itm/382605209867?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	Apple iPhone X	64GB		12.0 MP	5.8 in	Factory Unlocked	3 GB	Without Contract	iOS	A1901	Smartphone	MQA62LL/A	2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, Bluetooth Enabled, Email, Web, Facial Recognition, Front Camera, GPS, Rear Camera, Speakerphone, Touch Screen, Vibration, Video Calling	Silver, Space Gray	Single SIM	NA	Hexa Core	GSM 850	LTE																																																																																																																																																																																																																																																																																																																																									
https://www.ebay.com/itm/382446518910?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	Apple iPhone X	256GB		12.0 MP	5.8 in	Factory Unlocked	3 GB	Without Contract	iOS	A1901	Smartphone	MQAN2LL/A, MQAM2LL/A	4G, Bluetooth, GPS	4K Video Recording, Bluetooth Enabled	Silver, Space Gray	Single SIM	NA	Hexa Core	GSM 850	LTE																																																																																																																																																																																																																																																																																																																																									
https://www.ebay.com/itm/401763851775?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Samsung	Galaxy S9	64GB		12.0 MP	5.8 in	Factory Unlocked	4GB	Without Contract	Android	SM-G960		SMG960UZBAXAA, SMG960UZKAXAA, SMG960UZPAXAA	4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, AMOLED Display	Black, Blue, Purple, Gold	Single SIM	MicroSD	Octa Core																																																																																																																																																																																																																																																																																																																																											
https://www.ebay.com/itm/362534145919?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Apple	iPhone 8 Plus	64GB		12.0 MP	5.5 in	Factory Unlocked	3 GB	Without Contract	iOS	A1897	Bar	MQ8U2LL/A, MQ8V2LL/A, MQ8T2LL/A	4G, Bluetooth, GPS, LTE	4K Video Recording, Camera	Silver, Gold, Space Gray, Red	Single SIM	NA	Hexa Core	GSM 850	LTE																																																																																																																																																																																																																																																																																																																																									
https://www.ebay.com/itm/254733458977?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“This iPhone 11 is 100% functional in Good condition, item will include scratches and dents on the ...Read moreabout the seller notes“This iPhone 11 is 100% functional in Good condition, item will include scratches and dents on the front, back, and corners of the product. It does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	Apple	iPhone 11	64GB	Factory Unlocked	12MP	"6.1"""	Network Unlocked	4GB	Without Contract	iOS	A2111	Smartphone																																																																																																																																																																																																																																																																																																																																																		
https://www.ebay.com/itm/254449547850?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Galaxy S10 is in Very Good condition and has been determined fully functional by our industry ...Read moreabout the seller notes“This Galaxy S10 is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	Samsung Electronics	Galaxy S10	128GB	Factory Unlocked	12MP	"6.1"""	Network Unlocked	8GB	Without Contract	Android	G973U	Smartphone	SM-G973UZKAXAA																																																																																																																																																																																																																																																																																																																																																	
https://www.ebay.com/itm/362643917935?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	Samsung	Galaxy S9+	64GB		12.0 MP	6.2 in	Factory Unlocked	6 GB	Without Contract	Android	SM-G965		SM-G965UZBAXAA, SM-G965UZPAXAA, SM-G965UZKAXAA	4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, AMOLED Display	Black, Blue, Purple, Gold	Single SIM	MicroSD	Octa Core																																																																																																																																																																																																																																																																																																																																											
