Link	Condition	Processor	Screen Size	Color	Memory Card Type	Lock Status	SIM Card Slot	Brand	Network	Model	Connectivity	Style	Operating System	Features	Storage Capacity	Camera Resolution	RAM	Seller Notes	Contract	MPN	Model Number	Cellular Band	Manufacturer Warranty	Country/Region of Manufacture	UPC	Chipset Model	EAN	Cosmetic condition	Headphones	Bundled Items	Internet Connectivity	Carrier	Manufacturer Color	Bundle Description	Custom Bundle	Loudspeaker	Build	User Manual	Package Included	Duties and Tax	Charger and cable	Unit Type	Unit Quantity	Network Technology	Cosmetic Condition	Functionality Condition	Data Sanitation Status	Battery Power Rating	Device interface - primary	Audio Jack	Whats in the box	Batteries	Product Dimensions	Phone Talk Time	Special features	Net Quantity	Form factor	Wireless Carrier	Model Name	OS	Item model number	Generic Name	Memory Storage Capacity	Other camera features	Connectivity technologies	Item Dimensions LxWxH	Other display features	Country of Origin	Item Weight	Colour	Manufacturer warranty	Note	Type	Display Resolution	Battery Capacity	物品状况	Fast Fulfillment	Dimensions	Weight	Unlock Status	IMEI	Maximum Magnification	Original box	Wattage	CPU	Speakers	Resolution (Display)	MicroSD card support up to	Rear camera (Imaging)	SIM	Battery	Modified Item	No accessories	Non-Domestic Product	Bundle Listing	US Carrier Compatibility	4G/LTE	Restocking Fees	Charger	Notice	SKU	Compatible Brand	Sensors	SIM Type	Talk Time	USB Type	Size Type	Version	IMEI 2	IMEI 1	Bundle with case	Alert types	CARRIERS	Resolution	Wireless communication technologies	Camera	Important Information	Front Camera	NFC	Quad Back Cameras	GPU	Cellular Technology	GPS	Formfactor	Display technology	Wireless network technology	Accessories	Marca	Certificazione	Batterie Incluse	Origine	Seller Warranty	Grade	LOC	Manufacturer Part Number	Updates	Expansion Slot Type	Mobilfunkstandard	Please note	Extra Features	Audio	Origin	Screen Material	Battery Type	ROM	Cellular	Screen Type	CARRIERS :	Gpu	Five Back Cameras	Modification Description	Network Standard	Bluetooth	Battery life	Water Resistant (IPX grading)	Charging	Microphones	Buttons	Status	Headphone jack	USB connection	Phone Standby Time (with data	4G LTE	Internal SKU	FRONT CAMERA,	Dual Rear Camera	PHONE SCREEN SIZE	HARD DRIVE CAPACITY	CELL PHONE BATTERY	BATTERY STAND BY	BATTERY TALK TIME	CAMERA	MOBILE DEVICE CONNECTIVITY	PRIMARY COLOR	Manufacturer	Mobile Remote Betreiber	Store	Maximum Resolution	Series	Original Box	Farbe	Modell	Speicherkapazität	Compatible Phone Models	Material	Tax	Shipping	Units of size	Quantity	State of block	Frequency mobile phone	Insertion bundle	Manufacturer Colour	ProductReferenceID	Sim Lock	Состояние	Состояние товара	Примечания продавца	sku	HEADPHONES
https://www.ebay.com/itm/275016352540?nordt=true&orig_cvip=true&rt=nc	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab	Quad Core	5.5 in	White	MicroSD	Network Locked	Single SIM	Nokia	Cricket Wireless	Nokia 3.1 C	USB Type-C, 4G	Bar	Android	Fast Charging	32 GB	8.0 MP	2 GB																																																																																																																																																																																							
https://www.ebay.com/itm/203145222261?nordt=true&orig_cvip=true&rt=nc	Open box	Dual Core	5.5 in		MicroSD	Factory Unlocked	Dual SIM	Nokia	unlocked	Nokia 6	4G	Bar	Android	Email, Web	64 GB	8.0 MP	4 GB	“The phone is in good condition. without earphone”	Without Contract	Does Not Apply	nokia 6																																																																																																																																																																																			
https://www.ebay.com/itm/295688872962?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.8 in	Gray	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	Nokia 8	5G	Bar	Android	Fingerprint Sensor, Front Camera, Quad Rear Camera, Touch Screen, Wi-Fi Capable	64 GB	12.0 MP	6 GB		Without Contract	NOKTA1257	TA-1257	GSM / CDMA	1 Month	China	0810006570106																																																																																																																																																																															
https://www.ebay.com/itm/164928279178?nordt=true&orig_cvip=true&rt=nc	Used	Single Core	3.5 in		MicroSD	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia N8	3G, Bluetooth		Android	Bluetooth Enabled	16 GB	12.0 MP	512 MB	“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in ...Read moreabout the seller notes“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in normal operating condition. multi-language”Read Lessabout the seller notes	Without Contract																																																																																																																																																																																					
https://www.ebay.com/itm/145123725321?nordt=true&orig_cvip=true&rt=nc	Used	Octa Core	6.82 in	Blue	microSDXC		Single SIM	Nokia	Unlocked	Nokia G50	USB Type-C, 5G, Bluetooth, Wi-Fi, GPS	Bar	Android	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Ultra Wide-Angle Camera, Fingerprint Sensor, Triple Rear Camera	128 GB	5.0 MP, 48.0 MP, 2.0 MP	4 GB	“Excellent Condition.”		F16BYA1022007, TA-1390					0683346598501	Qualcomm Snapdragon 480																																																																																																																																																																														
https://www.ebay.com/itm/166168230447?nordt=true&orig_cvip=true&rt=nc	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab			Gray		Network Locked		Nokia		Nokia 9000il					0								Lifetime																																																																																																																																																																																	
https://www.ebay.com/itm/403640590392?nordt=true&orig_cvip=true&rt=nc	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab			Black				Nokia		Nokia 1100			Symbian		20 KB																																																																																																																																																																																									
https://www.ebay.com/itm/404078507679?nordt=true&orig_cvip=true&rt=nc	Used		2.6 in	Plum	microSDHC (dedicated slot)	Factory Unlocked	Single SIM	Samsung	Unlocked	Nokia N95	2G, 3G, Bluetooth, GPS, Mini USB, Quad-Band, Wi-Fi	Slider	Symbian OS 9.2		160 MB	5.0 MP	64MB	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. This phone is A++ condition . It looks like brand new.”Read Lessabout the seller notes	Without Contract						Does not apply																																																																																																																																																																															
https://www.ebay.com/itm/204363476374?nordt=true&orig_cvip=true&rt=nc	Used			Black		Network Locked	Single SIM	Unbranded		Nokia Lumia 650	Micro USB		Windows 10 Mobile		16 GB		1 GB	“used but looks new”																																																																																																																																																																																						
https://www.ebay.com/itm/225615294208?nordt=true&orig_cvip=true&rt=nc	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.5 in	Blue	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	G100 TA-1430	USB Type-C, 5G, 4G, Headphone Jack, Wi-Fi	Bar	Android		128 GB	5.0 MP	4 GB		Without Contract	NOT SPECIFIED							6438409076021																																																																																																																																																																													
