Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Last_Sale
Nokia 3.1 C (TA1141) 32GB (Cricket) Smartphone - White - Tested	$31.59	$5.00	34	$1,074.14	https://www.ebay.com/itm/275016352540?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
"Nokia 6 Dual SIM 5.5"" 4GB RAM 16MP Wi-Fi GPS Bluetooth Smartphone"	$103.50	$0.00	4	$414.00	https://www.ebay.com/itm/203145222261?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
NEW Nokia 8 V 5G UW TA1257 Verizon Unlocked LTE GSM CDMA 64GB Android Smartphone	$161.24	$0.00	8	$1,289.92	https://www.ebay.com/itm/295688872962?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
"Original Nokia N8 N8-00 3G WIFI GPS 12MP Touchscreen 3.5"" 16GB Smartphone"	$42.95	$5.50	26	$1,116.79	https://www.ebay.com/itm/164928279178?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia G50 5G | Android 11| Unlocked Smartphone| US Version| 4/128GB | Ocean Blue	$87.00	$8.22	1	$87.00	https://www.ebay.com/itm/145123725321?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 9000il Communicator - Vintage Cell Phone - Perfect For Collectors 	$299.00	$9.55	1	$299.00	https://www.ebay.com/itm/166168230447?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 1100 - Black (Unlocked) Cellular Phone	$21.11	$4.49	53	$1,119.05	https://www.ebay.com/itm/403640590392?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia N Series N95 - Deep plum 2.6″ 3G GSM  Wifi 5MP Slider Unlocked Smartphone	$44.99	$0.00	10	$449.90	https://www.ebay.com/itm/404078507679?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia Lumia 640 (RM-1073) 16GB (unlocked) Windows Smartphone - Clean IMEI	$35.00	$0.00	1	$35.00	https://www.ebay.com/itm/204363476374?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia G100 Unlocked TA-1430 - 128GB - Blue (Single SIM) (N) 157167	$99.99	$0.00	1	$99.99	https://www.ebay.com/itm/225615294208?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
"Nokia Lumia N9 N9-00 Unlocked Smartphone 3.9"" 3G Wifi 16GB 8MP"	$56.17	$9.00	25	$1,404.21	https://www.ebay.com/itm/144128577143?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia G50 - 128GB - Ocean Blue (Unlocked) (Single SIM)	$120.00	$12.45	1	$120.00	https://www.ebay.com/itm/354841297872?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 8000 4G Dual SIM Black White  4G LTE GSM Unlocked KaiOS Phone -New Sealed	$179.99	$0.00	1	$179.99	https://www.ebay.com/itm/385663103670?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
NEW Nokia 6300 - 4G Cell Phone - Charcoal - Unlocked - Dual SIM	$59.00	$15.16	1	$59.00	https://www.ebay.com/itm/304975458095?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 640XL Black	$13.74	$0.00	2	$27.48	https://www.ebay.com/itm/115736264824?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 8800 Classic Gun Metal Special edition Genuine Unlocked Made in Germany	$110.00	$20.00	1	$110.00	https://www.ebay.com/itm/374736160077?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
"Original Unlocked Nokia E7-00 4"" Touch Screen Slide 16GB 3G Symbian Cell Phone"	$85.00	$0.00	3	$255.00	https://www.ebay.com/itm/364112800525?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Original Unlocked NOKIA N95 8GB Mobile Phone 3G 5MP Wifi GPS 2.8''Screen GSM	$46.19	$17.00	6	$277.15	https://www.ebay.com/itm/125724645720?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 6300 4G Cell Phone - Charcoal (Unlocked) (Dual SIM)	$47.99	$0.00	6	$287.94	https://www.ebay.com/itm/394659421021?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
Nokia 2760 Flip 4GB TracFone Prepaid Feature Phone, Black	$19.70	$14.05	496	$9,770.70	https://www.ebay.com/itm/134108122391?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023
