Месяц,Nokia: (По всему миру)
2004-01,76
2004-02,77
2004-03,66
2004-04,65
2004-05,69
2004-06,76
2004-07,77
2004-08,77
2004-09,73
2004-10,77
2004-11,77
2004-12,88
2005-01,81
2005-02,77
2005-03,69
2005-04,71
2005-05,74
2005-06,77
2005-07,79
2005-08,81
2005-09,75
2005-10,74
2005-11,81
2005-12,82
2006-01,81
2006-02,70
2006-03,70
2006-04,70
2006-05,75
2006-06,80
2006-07,80
2006-08,82
2006-09,79
2006-10,87
2006-11,80
2006-12,94
2007-01,83
2007-02,84
2007-03,83
2007-04,84
2007-05,83
2007-06,89
2007-07,95
2007-08,100
2007-09,90
2007-10,92
2007-11,95
2007-12,100
2008-01,92
2008-02,84
2008-03,85
2008-04,78
2008-05,79
2008-06,76
2008-07,82
2008-08,88
2008-09,83
2008-10,85
2008-11,76
2008-12,95
2009-01,85
2009-02,83
2009-03,81
2009-04,76
2009-05,77
2009-06,82
2009-07,87
2009-08,90
2009-09,87
2009-10,94
2009-11,89
2009-12,96
2010-01,91
2010-02,89
2010-03,88
2010-04,80
2010-05,85
2010-06,83
2010-07,90
2010-08,100
2010-09,96
2010-10,93
2010-11,95
2010-12,99
2011-01,89
2011-02,88
2011-03,87
2011-04,82
2011-05,81
2011-06,85
2011-07,87
2011-08,92
2011-09,89
2011-10,85
2011-11,84
2011-12,87
2012-01,81
2012-02,81
2012-03,75
2012-04,72
2012-05,69
2012-06,70
2012-07,72
2012-08,72
2012-09,72
2012-10,64
2012-11,66
2012-12,69
2013-01,63
2013-02,64
2013-03,65
2013-04,61
2013-05,61
2013-06,62
2013-07,68
2013-08,67
2013-09,63
2013-10,63
2013-11,59
2013-12,63
2014-01,58
2014-02,56
2014-03,55
2014-04,54
2014-05,54
2014-06,54
2014-07,54
2014-08,54
2014-09,49
2014-10,44
2014-11,43
2014-12,42
2015-01,41
2015-02,36
2015-03,33
2015-04,33
2015-05,30
2015-06,31
2015-07,29
2015-08,27
2015-09,25
2015-10,23
2015-11,22
2015-12,22
2016-01,21
2016-02,20
2016-03,18
2016-04,17
2016-05,17
2016-06,17
2016-07,17
2016-08,16
2016-09,15
2016-10,15
2016-11,14
2016-12,15
2017-01,17
2017-02,22
2017-03,19
2017-04,14
2017-05,13
2017-06,17
2017-07,18
2017-08,17
2017-09,16
2017-10,15
2017-11,15
2017-12,15
2018-01,13
2018-02,13
2018-03,12
2018-04,13
2018-05,13
2018-06,13
2018-07,13
2018-08,13
2018-09,13
2018-10,12
2018-11,12
2018-12,12
2019-01,11
2019-02,10
2019-03,10
2019-04,9
2019-05,9
2019-06,9
2019-07,10
2019-08,9
2019-09,12
2019-10,10
2019-11,9
2019-12,9
2020-01,8
2020-02,8
2020-03,7
2020-04,6
2020-05,8
2020-06,9
2020-07,9
2020-08,8
2020-09,8
2020-10,7
2020-11,7
2020-12,7
2021-01,8
2021-02,7
2021-03,6
2021-04,6
2021-05,6
2021-06,6
2021-07,7
2021-08,6
2021-09,6
2021-10,6
2021-11,6
2021-12,6
2022-01,6
2022-02,6
2022-03,6
2022-04,6
2022-05,6
2022-06,5
2022-07,6
2022-08,6
2022-09,6
2022-10,6
2022-11,5
2022-12,5
2023-01,5
2023-02,6
2023-03,5
2023-04,5
2023-05,5
2023-06,5
