День,Redmi: (По всему миру)
2023-03-14,81
2023-03-15,76
2023-03-16,82
2023-03-17,80
2023-03-18,90
2023-03-19,84
2023-03-20,80
2023-03-21,78
2023-03-22,81
2023-03-23,79
2023-03-24,83
2023-03-25,93
2023-03-26,93
2023-03-27,84
2023-03-28,85
2023-03-29,88
2023-03-30,93
2023-03-31,91
2023-04-01,92
2023-04-02,93
2023-04-03,86
2023-04-04,91
2023-04-05,90
2023-04-06,93
2023-04-07,99
2023-04-08,96
2023-04-09,97
2023-04-10,97
2023-04-11,89
2023-04-12,86
2023-04-13,87
2023-04-14,92
2023-04-15,94
2023-04-16,92
2023-04-17,88
2023-04-18,84
2023-04-19,88
2023-04-20,84
2023-04-21,83
2023-04-22,85
2023-04-23,89
2023-04-24,89
2023-04-25,92
2023-04-26,88
2023-04-27,87
2023-04-28,91
2023-04-29,95
2023-04-30,92
2023-05-01,93
2023-05-02,85
2023-05-03,85
2023-05-04,92
2023-05-05,90
2023-05-06,99
2023-05-07,97
2023-05-08,91
2023-05-09,89
2023-05-10,85
2023-05-11,81
2023-05-12,85
2023-05-13,89
2023-05-14,87
2023-05-15,83
2023-05-16,80
2023-05-17,82
2023-05-18,89
2023-05-19,88
2023-05-20,91
2023-05-21,93
2023-05-22,86
2023-05-23,85
2023-05-24,85
2023-05-25,85
2023-05-26,87
2023-05-27,98
2023-05-28,93
2023-05-29,95
2023-05-30,89
2023-05-31,89
2023-06-01,89
2023-06-02,91
2023-06-03,98
2023-06-04,92
2023-06-05,91
2023-06-06,87
2023-06-07,88
2023-06-08,88
2023-06-09,89
2023-06-10,100
