,Title,Price,Shipping_cost,Sales_Count,Sales_Value,Link
0,Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Very Good,$337.59,$0.00,"19,787","$6,679,958.00",https://www.ebay.com/itm/254604777645?nordt=true&orig_cvip=true&rt=nc
1,Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very,$266.28,$0.00,"12,440","$3,312,560.60",https://www.ebay.com/itm/254187678666?nordt=true&orig_cvip=true&rt=nc
2,Apple iPhone 11 64GB Unlocked Smartphone - Very Good,$359.11,$16.93,"12,224","$4,389,742.37",https://www.ebay.com/itm/363183815277?nordt=true&orig_cvip=true&rt=nc
3,Apple iPhone X 64GB Factory Unlocked Phone - Very Good,$231.98,$16.50,"11,781","$2,732,899.88",https://www.ebay.com/itm/382605209867?nordt=true&orig_cvip=true&rt=nc
4,Apple iPhone X 256GB Unlocked Smartphone - Very Good,$263.59,$15.34,"10,020","$2,641,203.85",https://www.ebay.com/itm/382446518910?nordt=true&orig_cvip=true&rt=nc
5,Samsung G960 Galaxy S9 64GB Factory Unlocked Smartphone - Very Good,$129.44,$18.85,"9,737","$1,260,315.59",https://www.ebay.com/itm/401763851775?nordt=true&orig_cvip=true&rt=nc
6,Apple iPhone 8 Plus 64GB Unlocked Smartphone - Very Good,$223.09,$15.68,"10,518","$2,346,442.75",https://www.ebay.com/itm/362534145919?nordt=true&orig_cvip=true&rt=nc
7,Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good,$331.26,$0.00,"7,462","$2,471,873.38",https://www.ebay.com/itm/254733458977?nordt=true&orig_cvip=true&rt=nc
8,Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Very Good,$167.01,$0.00,"6,555","$1,094,767.45",https://www.ebay.com/itm/254449547850?nordt=true&orig_cvip=true&rt=nc
9,Samsung G965 Galaxy S9+ Plus 64GB Factory Unlocked Smartphone - Very Good,$159.37,$13.33,"6,927","$1,103,980.85",https://www.ebay.com/itm/362643917935?nordt=true&orig_cvip=true&rt=nc
10,Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Very Good,$245.72,$0.00,"6,906","$1,696,970.94",
11,Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone - Very Good,$208.20,$16.01,"6,315","$1,314,765.83",https://www.ebay.com/itm/362643928499?nordt=true&orig_cvip=true&rt=nc
12,Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone - Very Good,$249.83,$0.00,"5,682","$1,419,528.18",https://www.ebay.com/itm/254343826760?nordt=true&orig_cvip=true&rt=nc
13,Apple iPhone XR 64GB Factory Unlocked Smartphone - Very Good,$265.68,$14.99,"5,677","$1,508,275.55",https://www.ebay.com/itm/383240884447?nordt=true&orig_cvip=true&rt=nc
14,Samsung G975 Galaxy S10+ Plus 128GB Factory Unlocked Smartphone - Very Good,$220.92,$14.99,"5,872","$1,297,219.55",https://www.ebay.com/itm/403272229686?nordt=true&orig_cvip=true&rt=nc
15,Samsung Galaxy S9 Unlocked | T-Mobile AT&T Verizon | 64GB 4G Smartphone Good,$146.35,$22.38,"4,706","$688,733.85",https://www.ebay.com/itm/284035968027?nordt=true&orig_cvip=true&rt=nc
16,Samsung Galaxy S10+ G975U 128GB Factory Unlocked Android Smartphone - Very Good,$226.07,$0.00,"5,279","$1,193,422.97",https://www.ebay.com/itm/254497147383?nordt=true&orig_cvip=true&rt=nc
17,Apple iPhone 11 Pro Max 64GB Unlocked Smartphone - Very Good,$498.39,$16.02,"4,270","$2,128,120.52",https://www.ebay.com/itm/402561477570?nordt=true&orig_cvip=true&rt=nc
18,Apple iPhone 11 128GB Factory Unlocked 4G LTE Smartphone - Very Good,$381.81,$0.00,"3,778","$1,442,482.22",https://www.ebay.com/itm/254726029927?nordt=true&orig_cvip=true&rt=nc
