Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Very Good	$337.59	$0.00	19,787	$6,679,958.00	https://www.ebay.com/itm/254604777645?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very	$266.28	$0.00	12,440	$3,312,560.60	https://www.ebay.com/itm/254187678666?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 64GB Unlocked Smartphone - Very Good	$359.11	$16.93	12,224	$4,389,742.37	https://www.ebay.com/itm/363183815277?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 64GB Factory Unlocked Phone - Very Good	$231.98	$16.50	11,781	$2,732,899.88	https://www.ebay.com/itm/382605209867?nordt=true&orig_cvip=true&rt=nc
Apple iPhone X 256GB Unlocked Smartphone - Very Good	$263.59	$15.34	10,020	$2,641,203.85	https://www.ebay.com/itm/382446518910?nordt=true&orig_cvip=true&rt=nc
Samsung G960 Galaxy S9 64GB Factory Unlocked Smartphone - Very Good	$129.44	$18.85	9,737	$1,260,315.59	https://www.ebay.com/itm/401763851775?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 64GB Unlocked Smartphone - Very Good	$223.09	$15.68	10,518	$2,346,442.75	https://www.ebay.com/itm/362534145919?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good	$331.26	$0.00	7,462	$2,471,873.38	https://www.ebay.com/itm/254733458977?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Very Good	$167.01	$0.00	6,555	$1,094,767.45	https://www.ebay.com/itm/254449547850?nordt=true&orig_cvip=true&rt=nc
Samsung G965 Galaxy S9+ Plus 64GB Factory Unlocked Smartphone - Very Good	$159.37	$13.33	6,927	$1,103,980.85	https://www.ebay.com/itm/362643917935?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 8 Plus 64GB Factory Unlocked Smartphone - Very Good	$245.72	$0.00	6,906	$1,696,970.94	
Samsung N960 Galaxy Note 9 128GB Factory Unlocked Smartphone - Very Good	$208.20	$16.01	6,315	$1,314,765.83	https://www.ebay.com/itm/362643928499?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XS 64GB Factory Unlocked 4G LTE iOS Smartphone - Very Good	$249.83	$0.00	5,682	$1,419,528.18	https://www.ebay.com/itm/254343826760?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XR 64GB Factory Unlocked Smartphone - Very Good	$265.68	$14.99	5,677	$1,508,275.55	https://www.ebay.com/itm/383240884447?nordt=true&orig_cvip=true&rt=nc
Samsung G975 Galaxy S10+ Plus 128GB Factory Unlocked Smartphone - Very Good	$220.92	$14.99	5,872	$1,297,219.55	https://www.ebay.com/itm/403272229686?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S9 Unlocked | T-Mobile AT&T Verizon | 64GB 4G Smartphone Good	$146.35	$22.38	4,706	$688,733.85	https://www.ebay.com/itm/284035968027?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10+ G975U 128GB Factory Unlocked Android Smartphone - Very Good	$226.07	$0.00	5,279	$1,193,422.97	https://www.ebay.com/itm/254497147383?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 Pro Max 64GB Unlocked Smartphone - Very Good	$498.39	$16.02	4,270	$2,128,120.52	https://www.ebay.com/itm/402561477570?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 128GB Factory Unlocked 4G LTE Smartphone - Very Good	$381.81	$0.00	3,778	$1,442,482.22	https://www.ebay.com/itm/254726029927?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 32GB GSM Factory Unlocked 4G LTE iOS WiFi Smartphone	$108.09	$15.23	3,993	$431,614.07	https://www.ebay.com/itm/193380000263?nordt=true&orig_cvip=true&rt=nc
Google Pixel 5 5G Factory Unlocked 128GB Smartphone - Very Good	$309.09	$16.62	3,514	$1,086,143.86	https://www.ebay.com/itm/224743929590?nordt=true&orig_cvip=true&rt=nc
Samsung G970 Galaxy S10e 128GB Factory Unlocked Smartphone - Very Good	$137.19	$13.53	3,856	$528,992.27	https://www.ebay.com/itm/382980837076?nordt=true&orig_cvip=true&rt=nc
Samsung  Galaxy S21 5G 128GB G991U Fully Unlocked Smartphone - Very Good	$264.42	$0.00	3,578	$946,093.22	https://www.ebay.com/itm/254986400075?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 11 Pro Max 256GB Unlocked Smartphone - Very Good	$545.96	$15.29	3,774	$2,060,464.65	https://www.ebay.com/itm/363183789732?nordt=true&orig_cvip=true&rt=nc
Samsung N975 Galaxy Note 10+ Plus 256GB Unlocked Smartphone - Very Good	$306.04	$15.36	4,326	$1,323,919.89	https://www.ebay.com/itm/383859582143?nordt=true&orig_cvip=true&rt=nc
Samsung Galaxy S10e G970U 128GB Factory Unlocked Android Smartphone - Very Good	$142.06	$0.00	3,604	$511,993.96	https://www.ebay.com/itm/254362722440?nordt=true&orig_cvip=true&rt=nc
Samsung G973 Galaxy S10 128GB Factory Unlocked Smartphone - Very Good	$180.50	$11.97	3,984	$719,105.68	https://www.ebay.com/itm/383056866223?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 Plus 128GB Unlocked Smartphone - Very Good	$199.59	$17.09	3,943	$786,990.50	https://www.ebay.com/itm/382248638826?nordt=true&orig_cvip=true&rt=nc
Apple iPhone XS 64GB Unlocked Smartphone - Very Good	$248.54	$16.11	4,350	$1,081,150.36	https://www.ebay.com/itm/362796932744?nordt=true&orig_cvip=true&rt=nc
Apple iPhone 7 Plus 32GB Unlocked Smartphone - Very Good	$174.47	$13.93	3,890	$678,669.89	https://www.ebay.com/itm/401421944762?nordt=true&orig_cvip=true&rt=nc
2022 New Android Cheap Cell Phone Factory Unlocked Smartphone Dual SIM Quad Core	$61.89	$0.00	3,658	$226,406.27	https://www.ebay.com/itm/164893254720?nordt=true&orig_cvip=true&rt=nc
