Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Condition	Seller Notes	Brand	Model	Storage Capacity	Network	Camera Resolution	Screen Size	Lock Status	RAM	Contract	Operating System	Model Number	Style	MPN	Connectivity	Features	SIM Card Slot	Memory Card Type	Processor	Color	2G	3G	4G	5G	Bluetooth	GSM	WI-FI	Micro USB	USB	Type-C	Fast_usb	NFC	Dual-Band	ANT+	Android Beam	Beidou	Cellular	FM	DLNA	EDGE	Fast Charge	GPS	Galileo	Global Version	HDMI Micro	Glonass	Headphone Jack	OTA	OTG	Infrared	Lightning	Quad-Band	Tri-Band	Wireless charging	WAP	WCDMA
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Very Good	337.59	0.0	19787.0	6679958.0	https://www.ebay.com/itm/254604777645?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry ...Read moreabout the seller notes“This iPhone 11 is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	apple	iPhone 11	64.0	Unlocked	12.0	6.1	Network Unlocked	4.0	Without Contract	IOS	A2111	Smartphone	Does Not Apply	Bluetooth, 4G, Wi-Fi, Lightning, NFC	Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable	Single SIM	MicroSD	Others	Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone - Very	266.28	0.0	12440.0	3312560.6	https://www.ebay.com/itm/254187678666?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone has been determined ...Read moreabout the seller notes“This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. It will NOT come in its original packaging but will include an MFI certified lightning cable and UL approved power adapter. Headsets, SIM card and manual are NOT included. This Apple iPhone XR 64GB Factory Unlocked Smartphone 4G LTE iOS Smartphone is fully functional with all carrier networks. It does not come with a SIM card, you will need to get one from your carrier of choice.”Read Lessabout the seller notes	apple	iPhone XR	64.0	Unlocked	12.0	6.1	Network Unlocked	3.0	Without Contract	IOS	A1984	Smartphone	MRYR2LL/A	Bluetooth, 4G, Wi-Fi, Lightning, NFC	Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable	Single SIM	MicroSD	Others	Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apple iPhone 11 64GB Unlocked Smartphone - Very Good	359.11	16.93	12224.0	4389742.37	https://www.ebay.com/itm/363183815277?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	apple	Apple iPhone 11	64.0	Unlocked	12.0	6.1	Factory Unlocked	4.0	Without Contract	IOS	A2111 (CDMA + GSM)	Bar	MWLD2LL/A, MWL72LL/A, MWL82LL/A, MWL92LL/A, MWLA2LL/A, MWLC2LL/A	4G, Bluetooth, GPS	Face ID, Three-axis gyro, 4K Video Recording, Accelerometer, Ambient Light Sensor, Barometer, Proximity Sensor	Single SIM	Not Applicable	Hexa Core	Black	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Apple iPhone X 64GB Factory Unlocked Phone - Very Good	231.98	16.5	11781.0	2732899.88	https://www.ebay.com/itm/382605209867?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	apple	Apple iPhone X	64.0	Operator	12.0	5.8	Factory Unlocked	3.0	Without Contract	IOS	A1901	Smartphone	MQA62LL/A	2G, 3G, 4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, Bluetooth Enabled, Email, Web, Facial Recognition, Front Camera, GPS, Rear Camera, Speakerphone, Touch Screen, Vibration, Video Calling	Single SIM	MicroSD	Hexa Core	Black	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apple iPhone X 256GB Unlocked Smartphone - Very Good	263.59	15.34	10020.0	2641203.85	https://www.ebay.com/itm/382446518910?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	apple	Apple iPhone X	256.0	Operator	12.0	5.8	Factory Unlocked	3.0	Without Contract	IOS	A1901	Smartphone	MQAN2LL/A, MQAM2LL/A	4G, Bluetooth, GPS	4K Video Recording, Bluetooth Enabled	Single SIM	MicroSD	Hexa Core	Black	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung G960 Galaxy S9 64GB Factory Unlocked Smartphone - Very Good	129.44	18.85	9737.0	1260315.59	https://www.ebay.com/itm/401763851775?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	samsung	Galaxy S9	64.0	Operator	12.0	5.8	Factory Unlocked	4.0	Without Contract	Android	SM-G960	Bar	SMG960UZBAXAA, SMG960UZKAXAA, SMG960UZPAXAA	4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, AMOLED Display	Single SIM	MicroSD	Octa Core	Black	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apple iPhone 8 Plus 64GB Unlocked Smartphone - Very Good	223.09	15.68	10518.0	2346442.75	https://www.ebay.com/itm/362534145919?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	apple	iPhone 8 Plus	64.0	Operator	12.0	5.5	Factory Unlocked	3.0	Without Contract	IOS	A1897	Bar	MQ8U2LL/A, MQ8V2LL/A, MQ8T2LL/A	4G, Bluetooth, GPS, LTE	4K Video Recording, Camera	Single SIM	MicroSD	Hexa Core	Black	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Apple iPhone 11 64GB Factory Unlocked 4G LTE Smartphone - Good	331.26	0.0	7462.0	2471873.38	https://www.ebay.com/itm/254733458977?nordt=true&orig_cvip=true&rt=nc	Good - Refurbished	“This iPhone 11 is 100% functional in Good condition, item will include scratches and dents on the ...Read moreabout the seller notes“This iPhone 11 is 100% functional in Good condition, item will include scratches and dents on the front, back, and corners of the product. It does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	apple	iPhone 11	64.0	Unlocked	12.0	6.1	Network Unlocked	4.0	Without Contract	IOS	A2111	Smartphone	Does Not Apply	Bluetooth, 4G, Wi-Fi, Lightning, NFC	Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable	Single SIM	MicroSD	Others	Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung Galaxy S10 G973U 128GB Factory Unlocked Android Smartphone - Very Good	167.01	0.0	6555.0	1094767.45	https://www.ebay.com/itm/254449547850?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This Galaxy S10 is in Very Good condition and has been determined fully functional by our industry ...Read moreabout the seller notes“This Galaxy S10 is in Very Good condition and has been determined fully functional by our industry leading functionality inspection. It will show signs of wear like scratches, scuffs, and minor nicks on the screen or body. This item does NOT come in its original packaging but will include a generic UL certified cable.”Read Lessabout the seller notes	samsung	Galaxy S10	128.0	Unlocked	12.0	6.1	Network Unlocked	8.0	Without Contract	Android	G973U	Smartphone	SM-G973UZKAXAA	Bluetooth, 4G, Wi-Fi, Lightning, NFC	Internet Browser, Near Field Communication, Touchscreen, 3G Data Capable, 4G Data Capable, Bluetooth Enabled, Global Ready, GPS, Music Player, Speakerphone, TTY Compatible, Voice-Activated Dialing, Wi-Fi Capable	Single SIM	MicroSD	Others	Black	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Samsung G965 Galaxy S9+ Plus 64GB Factory Unlocked Smartphone - Very Good	159.37	13.33	6927.0	1103980.85	https://www.ebay.com/itm/362643917935?nordt=true&orig_cvip=true&rt=nc	Very Good - Refurbished	“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes ...Read moreabout the seller notes“This is a B+ Stock item, meaning unit is in very good cosmetic condition and may have minor scrapes or scratches since it's been handled.”Read Lessabout the seller notes	samsung	Galaxy S9+	64.0	Operator	12.0	6.2	Factory Unlocked	6.0	Without Contract	Android	SM-G965	Bar	SM-G965UZBAXAA, SM-G965UZPAXAA, SM-G965UZKAXAA	4G, Bluetooth, GPS, LTE, Wi-Fi	4K Video Recording, AMOLED Display	Single SIM	MicroSD	Octa Core	Black	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
