	Title	Price	Shipping_cost	Sales_Count	Sales_Value	Link	Last_Sale	Condition	Processor	Screen Size	Color	Memory Card Type	Lock Status	SIM Card Slot	Brand	Network	Model	Connectivity	Style	Operating System	Features	Storage Capacity	Camera Resolution	RAM	Seller Notes	Contract	MPN
0	Nokia 3.1 C (TA1141) 32GB (Cricket) Smartphone - White - Tested	31.59	5.0	34	1074.14	https://www.ebay.com/itm/275016352540?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab	Quad Core	5.5 in	White	MicroSD	Network Locked	Single SIM	Nokia	Cricket Wireless	Nokia 3.1 C	USB Type-C, 4G	Bar	Android	Fast Charging	32 GB	8.0 MP	2 GB			
1	"Nokia 6 Dual SIM 5.5"" 4GB RAM 16MP Wi-Fi GPS Bluetooth Smartphone"	103.5	0.0	4	414.0	https://www.ebay.com/itm/203145222261?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Open box	Dual Core	5.5 in		MicroSD	Factory Unlocked	Dual SIM	Nokia	unlocked	Nokia 6	4G	Bar	Android	Email, Web	64 GB	8.0 MP	4 GB	“The phone is in good condition. without earphone”	Without Contract	Does Not Apply
2	NEW Nokia 8 V 5G UW TA1257 Verizon Unlocked LTE GSM CDMA 64GB Android Smartphone	161.24	0.0	8	1289.92	https://www.ebay.com/itm/295688872962?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.8 in	Gray	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	Nokia 8	5G	Bar	Android	Fingerprint Sensor, Front Camera, Quad Rear Camera, Touch Screen, Wi-Fi Capable	64 GB	12.0 MP	6 GB		Without Contract	NOKTA1257
3	"Original Nokia N8 N8-00 3G WIFI GPS 12MP Touchscreen 3.5"" 16GB Smartphone"	42.95	5.5	26	1116.79	https://www.ebay.com/itm/164928279178?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used	Single Core	3.5 in		MicroSD	Factory Unlocked	Single SIM	Nokia	Unlocked	Nokia N8	3G, Bluetooth		Android	Bluetooth Enabled	16 GB	12.0 MP	512 MB	“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in ...Read moreabout the seller notes“1 year warranty, refurbished to a flawless new state, 100% genuine, professionally tested, and in normal operating condition. multi-language”Read Lessabout the seller notes	Without Contract	
4	Nokia G50 5G | Android 11| Unlocked Smartphone| US Version| 4/128GB | Ocean Blue	87.0	8.22	1	87.0	https://www.ebay.com/itm/145123725321?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used	Octa Core	6.82 in	Blue	microSDXC		Single SIM	Nokia	Unlocked	Nokia G50	USB Type-C, 5G, Bluetooth, Wi-Fi, GPS	Bar	Android	Proximity Sensor, E-compass, Gyro Sensor, Accelerometer, Ambient Light Sensor, Ultra Wide-Angle Camera, Fingerprint Sensor, Triple Rear Camera	128 GB	5.0 MP, 48.0 MP, 2.0 MP	4 GB	“Excellent Condition.”		F16BYA1022007, TA-1390
5	Nokia 9000il Communicator - Vintage Cell Phone - Perfect For Collectors 	299.0	9.55	1	299.0	https://www.ebay.com/itm/166168230447?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is ...Read moreabout the conditionUsed: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections.See all condition definitionsopens in a new window or tab			Gray		Network Locked		Nokia		Nokia 9000il					0					
6	Nokia 1100 - Black (Unlocked) Cellular Phone	21.11	4.49	53	1119.05	https://www.ebay.com/itm/403640590392?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Open box: An item in excellent, new condition with no wear. The item may be missing the original ...Read moreabout the conditionOpen box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description.See all condition definitionsopens in a new window or tab			Black				Nokia		Nokia 1100			Symbian		20 KB					
7	Nokia N Series N95 - Deep plum 2.6″ 3G GSM  Wifi 5MP Slider Unlocked Smartphone	44.99	0.0	10	449.9	https://www.ebay.com/itm/404078507679?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used		2.6 in	Plum	microSDHC (dedicated slot)	Factory Unlocked	Single SIM	Samsung	Unlocked	Nokia N95	2G, 3G, Bluetooth, GPS, Mini USB, Quad-Band, Wi-Fi	Slider	Symbian OS 9.2		160 MB	5.0 MP	64MB	“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working ...Read moreabout the seller notes“Refurbished to flawless new condition, 100% Genuine, professionally tested and in full working order. This phone is A++ condition . It looks like brand new.”Read Lessabout the seller notes	Without Contract	
8	Nokia Lumia 640 (RM-1073) 16GB (unlocked) Windows Smartphone - Clean IMEI	35.0	0.0	1	35.0	https://www.ebay.com/itm/204363476374?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	Used			Black		Network Locked	Single SIM	Unbranded		Nokia Lumia 650	Micro USB		Windows 10 Mobile		16 GB		1 GB	“used but looks new”		
9	Nokia G100 Unlocked TA-1430 - 128GB - Blue (Single SIM) (N) 157167	99.99	0.0	1	99.99	https://www.ebay.com/itm/225615294208?nordt=true&orig_cvip=true&rt=nc	Jun 13, 2023	New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is ...Read moreabout the conditionNew: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details.See all condition definitionsopens in a new window or tab	Octa Core	6.5 in	Blue	microSDXC	Network Unlocked	Single SIM	Nokia	Unlocked	G100 TA-1430	USB Type-C, 5G, 4G, Headphone Jack, Wi-Fi	Bar	Android		128 GB	5.0 MP	4 GB		Without Contract	NOT SPECIFIED
